chebi_id	chebi_label	chebi_formula
CHEBI:3	((R)-3-Hydroxybutanoyl)(n-2)	(C4H6O2)n
CHEBI:7	(+)-car-3-ene	C10H16
CHEBI:8	(+)-8-hydroxycalamenene	C15H22O
CHEBI:9	(+)-Adlumine	C21H21NO6
CHEBI:10	(+)-Atherospermoline	C36H38N2O6
CHEBI:11	(+)-Bebeerine	C36H38N2O6
CHEBI:17	(+)-Cassythicine	C19H19NO4
CHEBI:19	(+)-Chrysanthenone	C10H14O
CHEBI:20	(+)-camphene	C10H16
CHEBI:22	(+)-Elaeocarpine	C16H19NO2
CHEBI:23	(+)-Eudesmin	C22H26O6
CHEBI:24	(+)-Galbacin	C20H20O5
CHEBI:25	(+)-iridodial	C10H16O2
CHEBI:26	(+)-iridodial lactol	C10H16O2
CHEBI:28	(R)-linalool	C10H18O
CHEBI:29	(+)-Luguine	C19H13NO5
CHEBI:30	(+)-Mecambroline	C18H17NO3
CHEBI:31	(+)-menthone	C10H18O
CHEBI:32	(+)-N-methylconiine	C9H19N
CHEBI:33	(+)-Neomatatabiol	C10H18O2
CHEBI:36	(+)-norephedrine	C9H13NO
CHEBI:37	(+)-Nornicotine	C9H12N2
CHEBI:38	(+)-O-Methylthalicberine	C38H42N2O6
CHEBI:39	(+)-Pimaric acid	C20H30O2
CHEBI:40	(+)-pinoresinol	C20H22O6
CHEBI:41	(+)-piperitone	C10H16O
CHEBI:42	(+)-pronuciferine	C19H21NO3
CHEBI:43	(+)-Prosopinine	C18H35NO3
CHEBI:47	(+)-syringaresinol	C22H26O8
CHEBI:49	(+)-Tetrandrine	C38H42N2O6
CHEBI:53	(+)-beta-phellandrene	C10H16
CHEBI:60	(+)-trans-Piperitenol	C10H18O
CHEBI:61	(+)-trans-Pulegol	C10H18O
CHEBI:62	(+)-trans-alpha-Irone	C14H22O
CHEBI:63	(+-)-5-Deoxykievitone	C20H20O5
CHEBI:64	(+-)-Carnegine	C13H19NO2
CHEBI:65	(+-)-dalbergioidin	C15H12O6
CHEBI:73	(-)-Acanthocarpan	C17H12O7
CHEBI:74	(S)-anabasine	C10H14N2
CHEBI:75	(-)-anaferine	C13H24N2O
CHEBI:76	(-)-annonaine	C17H15NO2
CHEBI:77	(-)-Apoglaziovine	C18H19NO3
CHEBI:78	(-)-Apparicine	C18H20N2
CHEBI:79	(-)-Arctigenin	C21H24O6
CHEBI:80	(-)-argemonine	C21H25NO4
CHEBI:84	(-)-Caaverine	C17H17NO2
CHEBI:87	(-)-chimonanthine	C22H26N4
CHEBI:88	(S)-(-)-citronellol	C10H20O
CHEBI:89	(-)-camphene	C10H16
CHEBI:90	(-)-epicatechin	C15H14O6
CHEBI:92	(-)-hygrine	C8H15NO
CHEBI:93	(-)-Hygroline	C8H17NO
CHEBI:98	(S)-linalool	C10H18O
CHEBI:99	(-)-maackiain	C16H12O5
CHEBI:100	(-)-medicarpin	C16H14O4
CHEBI:104	(-)-Menthyl acetate	C12H22O2
CHEBI:105	(-)-Nissolin	C16H14O5
CHEBI:106	(-)-Ormosanine	C20H35N3
CHEBI:107	(-)-Pellotine	C13H19NO3
CHEBI:108	(-)-phaseolin	C20H20O4
CHEBI:109	(-)-phaseollinisoflavan	C20H20O4
CHEBI:110	(-)-Quebrachamine	C19H26N2
CHEBI:111	(-)-Quebrachitol	C7H14O6
CHEBI:112	(-)-Salsoline	C11H15NO2
CHEBI:113	(S)-salsolinol	C10H13NO2
CHEBI:114	(-)-Santiaguine	C38H48N4O2
CHEBI:115	(-)-sativan	C17H18O4
CHEBI:116	(-)-Sedamine	C14H21NO
CHEBI:118	(-)-Sparticarpin	C17H16O5
CHEBI:119	D-synephrine	C9H13NO2
CHEBI:120	(-)-Tylocrebrine	C24H27NO4
CHEBI:122	(-)-usnic acid	C18H16O7
CHEBI:123	(-)-Variabilin	C17H16O5
CHEBI:125	(-)-alpha-Bisabolol	C15H26O
CHEBI:126	(-)-alpha-Hydrastine	C21H21NO6
CHEBI:128	(S)-(-)-alpha-terpineol	C10H18O
CHEBI:129	(-)-beta-phellandrene	C10H16
CHEBI:139	(1-&gt;3)-beta-D-Galactopyranans	(C6H10O6)n.C12H22O10
CHEBI:141	(1-Ribosylimidazole)-4-acetate	C10H14N2O6
CHEBI:146	(15:1)-Cardanol	C21H34O
CHEBI:149	(-)-dihydrocarveol	C10H18O
CHEBI:150	(-)-isodihydrocarveol	C10H18O
CHEBI:151	D-threo-isocitric acid	C6H8O7
CHEBI:152	(+)-neodihydrocarveol	C10H18O
CHEBI:153	(-)-neoisodihydrocarveol	C10H18O
CHEBI:154	(+)-dihydrocarvone	C10H16O
CHEBI:155	(-)-isodihydrocarvone	C10H16O
CHEBI:157	(1S,2R,4S)-(-)-Bornyl acetate	C12H20O2
CHEBI:158	(-)-neodihydrocarveol	C10H18O
CHEBI:160	D-erythro-isocitric acid	C6H8O7
CHEBI:165	(1S,4R)-fenchone	C10H16O
CHEBI:166	(+)-isodihydrocarvone	C10H16O
CHEBI:168	(-)-dihydrocarvone	C10H16O
CHEBI:192	(3&apos;R,4&apos;R)-3&apos;-Epoxyangeloyloxy-4&apos;-acetoxy-3&apos;,4&apos;-dihydroseselin	C21H22O8
CHEBI:204	(3R)-6-Hydroxy-3-isopropenyl-heptanoate	C10H18O3
CHEBI:209	(3S)-3-Hydroxyacyl-N-acylthioethanolamine	C6H9NO3SR2
CHEBI:210	(3S)-3-Hydroxyacyl-hydrolipoate	C10H17O4S2R
CHEBI:211	(3S)-3-isopropenyl-6-oxoheptanoate	C10H15O3
CHEBI:212	(3S)-3-isopropenyl-6-oxoheptanoyl-CoA	C31H50N7O18P3S
CHEBI:214	(3S)-6-Hydroxy-3-isopropenyl-heptanoate	C10H18O3
CHEBI:218	(3S,4R)-Ketose 1-phosphate	C6H13O9P
CHEBI:227	(-)-cis-carveol	C10H16O
