compound_name	molecular_weight	pka_values	charge_states	ion_charges	solubility_g_per_L	activity_coefficient	description
0.5 M Nitrilotriacetic acid, disodium salt	58.44	4.75	-1,0,1	Na+:1,Cl-:-1	500.0000	0.90	PubChem CID:5234 - sodium chloride
Acetic acid	75.07	4.75	-1,0,1		2000.0000	1.00	PubChem CID:750 - 2-aminoacetic acid
Basal salts solution	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Carboxymethyl cellulose, sodium salt	58.44		-1,0,1	Na+:1,Cl-:-1	500.0000	0.90	PubChem CID:5234 - sodium chloride
Citric acid	192.12	4.75	-1,0,1		707.9458	1.00	PubChem CID:311 - 2-hydroxypropane-1,2,3-tricarboxylic acid
D(+)-Glucose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
D-Glucose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
D-glucose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
Dextrose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
Dipotassium Phosphate	136.09	2.15,7.20,12.35	-3,-2,-1,0,1,2,3	K+:1	500.0000	0.90	PubChem CID:516951 - potassium dihydrogen phosphate
D­glucose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
EDTA di sodium salt	58.44		-1,0,1	Na+:1,Cl-:-1	500.0000	0.90	PubChem CID:5234 - sodium chloride
Glycylglycine	75.07		-1,0,1		2000.0000	1.00	PubChem CID:750 - 2-aminoacetic acid
KH2PO4 x 7 H2O	136.09		-1,0,1	K+:1	100.0000	0.90	PubChem CID:516951 - potassium dihydrogen phosphate
Monopotassium Phosphate	136.09	2.15,7.20,12.35	-3,-2,-1,0,1,2,3	K+:1	500.0000	0.90	PubChem CID:516951 - potassium dihydrogen phosphate
NaCL	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
NaCl	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
NaClO3	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Nacl	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Nitrilotriacetic acid trisodium salt monohydrate	58.44	4.75,8.07	-2,-1,0,1,2	Na+:1,Cl-:-1	500.0000	0.90	PubChem CID:5234 - sodium chloride
Nitrilotriacetic acid, trisodium salt	58.44	4.75,8.07	-2,-1,0,1,2	Na+:1,Cl-:-1	500.0000	0.90	PubChem CID:5234 - sodium chloride
Salt Solution I	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Sea Salt	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Sigma Sea salts	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
Tropic Marine salt	58.44		-1,0,1	Na+:1,Cl-:-1	200.0000	0.90	PubChem CID:5234 - sodium chloride
citric_acid	100.0	3.13,4.76,6.40	1,0,-1,-2,-3		100.0	1.0	citric acid
glucose	180.16		0		909.0	1.0	glucose
glycine	100.0	2.34,9.60	1,0,-1,-2		200.0	1.0	glycine
potassium phosphate monobasic	136.09	2.15,7.20,12.35	-3,-2,-1,0,1,2,3	K+:1	500.0000	0.90	PubChem CID:516951 - potassium dihydrogen phosphate
potassium_phosphate	100.0	2.15,7.20,12.35	1,0,-1,-2,-3		100.0	1.0	potassium phosphate
sodium_chloride	58.44		0	Na+:1,Cl-:-1	360.0	1.0	sodium chloride
α-D-Glucose	180.16		-1,0,1		1995.2623	1.00	PubChem CID:5793 - (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetro...
