medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	hydration_confidence	hydration_parsing_method	corrected_mmol_l	base_compound_for_mapping	hydration_state
dsmz_1699	KH2PO4	CHEBI:63036						json	KH2PO4	KH2PO4	0	KH2PO4	CHEBI:63036	potassium dihydrogen phosphate	H2KO4P	136.09	0.0	136.09	high	no_hydration		KH2PO4	anhydrous
dsmz_1699	NH4Cl	CHEBI:31206						json	NH4Cl	NH4Cl	0	NH4Cl	CHEBI:31206	ammonium chloride	ClH4N	53.49	0.0	53.49	high	no_hydration		NH4Cl	anhydrous
dsmz_1699	NaCl	CHEBI:26710						json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration		NaCl	anhydrous
dsmz_1699	MgCl2 6-hydrate	CHEBI:6636						json	MgCl2	MgCl2	6	MgCl2.6H2O	CHEBI:6636	magnesium chloride	Cl2Mg	95.21	108.09	203.3	high	direct_parse		MgCl2 6-hydrate	anhydrous
dsmz_1699	KCl	CHEBI:32588						json	KCl	KCl	0	KCl	CHEBI:32588	potassium chloride	ClK	74.55	0.0	74.55	high	no_hydration		KCl	anhydrous
dsmz_1699	CaCl2 2-hydrate	CHEBI:3312						json	CaCl2	CaCl2	2	CaCl2.2H2O	CHEBI:3312	calcium chloride	CaCl2	110.98	36.03	147.01	high	direct_parse		CaCl2 2-hydrate	anhydrous
dsmz_1699	NaNO3	CHEBI:63005						json	NaNO3	NaNO3	0	NaNO3	CHEBI:63005	sodium nitrate	NNaO3	100.0	0.0	100.0	high	no_hydration		NaNO3	anhydrous
dsmz_1699	Modified Wolin's mineral solution	solution:241						json	Modified Wolin's mineral solution	ModifiedWolin'smineralsolution	0	ModifiedWolin'smineralsolution				100.0	0.0	100.0	high	no_hydration		Modified Wolin's mineral solution	anhydrous
dsmz_1699	Na2CO3	CHEBI:29377						json	Na2CO3	Na2CO3	0	Na2CO3	CHEBI:29377	sodium carbonate	CNa2O3	100.0	0.0	100.0	high	no_hydration		Na2CO3	anhydrous
dsmz_1699	Nitrilotriacetic acid	CHEBI:44557						json	Nitrilotriacetic acid	Nitrilotriaceticacid	0	Nitrilotriaceticacid	CHEBI:44557	nitrilotriacetic acid	C6H9NO6	100.0	0.0	100.0	high	no_hydration		Nitrilotriacetic acid	anhydrous
dsmz_1699	MgSO4 7-hydrate	CHEBI:32599						json	MgSO4	MgSO4	7	MgSO4.7H2O	CHEBI:32599	magnesium sulfate	MgO4S	120.37	126.105	246.475	high	direct_parse		MgSO4 7-hydrate	anhydrous
dsmz_1699	MnSO4 x H2O	CHEBI:75211						json	MnSO4	MnSO4	1	MnSO4.1H2O	CHEBI:75211	manganese(2+) sulfate	MnO4S	151.0	18.015	169.015	high	direct_parse		MnSO4	hydrated
dsmz_1699	FeSO4 7-hydrate	CHEBI:75832						json	FeSO4	FeSO4	7	FeSO4.7H2O	CHEBI:75832	iron(2+) sulfate	FeO4S	151.91	126.105	278.015	high	direct_parse		FeSO4 7-hydrate	anhydrous
dsmz_1699	CoSO4 7-hydrate	CHEBI:53470						json	CoSO4	CoSO4	7	CoSO4.7H2O	CHEBI:53470	cobalt(2+) sulfate	CoO4S	154.99	126.105	281.095	high	direct_parse		CoSO4 7-hydrate	anhydrous
dsmz_1699	ZnSO4 7-hydrate	CHEBI:35176						json	ZnSO4	ZnSO4	7	ZnSO4.7H2O	CHEBI:35176	zinc sulfate	O4SZn	161.47	126.105	287.575	high	direct_parse		ZnSO4 7-hydrate	anhydrous
dsmz_1699	CuSO4 5-hydrate	CHEBI:23414						json	CuSO4	CuSO4	5	CuSO4.5H2O	CHEBI:23414	copper(2+) sulfate	CuO4S	159.61	90.075	249.685	high	direct_parse		CuSO4 5-hydrate	anhydrous
dsmz_1699	H3BO3	CHEBI:33118						json	H3BO3	H3BO3	0	H3BO3	CHEBI:33118	boric acid	BH3O3	100.0	0.0	100.0	high	no_hydration		H3BO3	anhydrous
