medium_id	ingredient_name	ingredient_label	ingredient_id	formula	raw_concentration	concentration_g_ml	source_ingredient	expansion_category
1	L-alanine		CHEBI:16977		from tryptone (2.8 g/100g)	0.00028	tryptone	amino_acids
1	L-alanine		CHEBI:16977		from yeast extract (8.8 g/100g)	0.00044	yeast extract	amino_acids
1	L-arginine		CHEBI:16467		from tryptone (3.2 g/100g)	0.00032	tryptone	amino_acids
1	L-arginine		CHEBI:16467		from yeast extract (5.1 g/100g)	0.000255	yeast extract	amino_acids
1	L-aspartic-acid		CHEBI:17053		from tryptone (6.7 g/100g)	0.00067	tryptone	amino_acids
1	L-aspartic-acid		CHEBI:17053		from yeast extract (9.9 g/100g)	0.000495	yeast extract	amino_acids
1	L-cysteine		CHEBI:17561		from tryptone (0.3 g/100g)	3e-05	tryptone	amino_acids
1	L-cysteine		CHEBI:17561		from yeast extract (0.9 g/100g)	4.5e-05	yeast extract	amino_acids
1	L-glutamic-acid		CHEBI:16015		from tryptone (18 g/100g)	0.0018	tryptone	amino_acids
1	L-glutamic-acid		CHEBI:16015		from yeast extract (16.3 g/100g)	0.000815	yeast extract	amino_acids
1	L-histidine		CHEBI:15971		from tryptone (2.4 g/100g)	0.00024	tryptone	amino_acids
1	L-histidine		CHEBI:15971		from yeast extract (2.1 g/100g)	0.000105	yeast extract	amino_acids
1	L-isoleucine		CHEBI:17191		from tryptone (4.7 g/100g)	0.00047	tryptone	amino_acids
1	L-isoleucine		CHEBI:17191		from yeast extract (5.5 g/100g)	0.000275	yeast extract	amino_acids
1	L-leucine		CHEBI:15603		from tryptone (7.7 g/100g)	0.00077	tryptone	amino_acids
1	L-leucine		CHEBI:15603		from yeast extract (7.5 g/100g)	0.000375	yeast extract	amino_acids
1	L-lysine		CHEBI:18019		from tryptone (7 g/100g)	0.0007	tryptone	amino_acids
1	L-lysine		CHEBI:18019		from yeast extract (8 g/100g)	0.0004	yeast extract	amino_acids
1	L-methionine		CHEBI:16643		from tryptone (2.5 g/100g)	0.00025	tryptone	amino_acids
1	L-methionine		CHEBI:16643		from yeast extract (1.4 g/100g)	7e-05	yeast extract	amino_acids
1	L-phenylalanine		CHEBI:17295		from tryptone (4.1 g/100g)	0.00041	tryptone	amino_acids
1	L-phenylalanine		CHEBI:17295		from yeast extract (3.7 g/100g)	0.000185	yeast extract	amino_acids
1	L-proline		CHEBI:17203		from tryptone (9.1 g/100g)	0.00091	tryptone	amino_acids
1	L-proline		CHEBI:17203		from yeast extract (4 g/100g)	0.0002	yeast extract	amino_acids
1	L-serine		CHEBI:17115		from tryptone (5.1 g/100g)	0.00051	tryptone	amino_acids
1	L-serine		CHEBI:17115		from yeast extract (4.6 g/100g)	0.00023	yeast extract	amino_acids
1	L-threonine		CHEBI:16857		from tryptone (3.9 g/100g)	0.00039	tryptone	amino_acids
1	L-threonine		CHEBI:16857		from yeast extract (4.3 g/100g)	0.000215	yeast extract	amino_acids
1	L-tryptophan		CHEBI:16828		from tryptone (1 g/100g)	0.0001	tryptone	amino_acids
1	L-tryptophan		CHEBI:16828		from yeast extract (1.2 g/100g)	6e-05	yeast extract	amino_acids
1	L-tyrosine		CHEBI:17895		from tryptone (1.3 g/100g)	0.00013	tryptone	amino_acids
1	L-tyrosine		CHEBI:17895		from yeast extract (2.4 g/100g)	0.00012	yeast extract	amino_acids
1	L-valine		CHEBI:16414		from tryptone (6 g/100g)	0.0006	tryptone	amino_acids
1	L-valine		CHEBI:16414		from yeast extract (5.7 g/100g)	0.000285	yeast extract	amino_acids
1	biotin		CHEBI:15956		from yeast extract (0.00012 g/100g)	6.00e-09	yeast extract	vitamins
1	calcium		CHEBI:22984		from yeast extract (0.1 g/100g)	5e-06	yeast extract	minerals
1	copper		CHEBI:28694		from yeast extract (0.0005 g/100g)	2.50e-08	yeast extract	minerals
1	folic-acid		CHEBI:27470		from yeast extract (0.004 g/100g)	2.00e-07	yeast extract	vitamins
1	glycine		CHEBI:15428		from tryptone (1.8 g/100g)	0.00018	tryptone	amino_acids
1	glycine		CHEBI:15428		from yeast extract (4.8 g/100g)	0.00024	yeast extract	amino_acids
1	inositol		CHEBI:17268		from yeast extract (0.35 g/100g)	1.75e-05	yeast extract	vitamins
1	iron		CHEBI:18248		from yeast extract (0.005 g/100g)	2.50e-07	yeast extract	minerals
1	magnesium		CHEBI:25107		from yeast extract (0.2 g/100g)	1e-05	yeast extract	minerals
1	manganese		CHEBI:18291		from yeast extract (0.001 g/100g)	5.00e-08	yeast extract	minerals
1	niacin		CHEBI:15940		from yeast extract (0.1 g/100g)	5e-06	yeast extract	vitamins
1	pantothenic-acid		CHEBI:7916		from yeast extract (0.016 g/100g)	8.00e-07	yeast extract	vitamins
1	phosphorus		CHEBI:28659		from yeast extract (1.5 g/100g)	7.5e-05	yeast extract	minerals
1	potassium		CHEBI:26216		from yeast extract (3 g/100g)	0.00015	yeast extract	minerals
1	pyridoxine		CHEBI:16709		from yeast extract (0.007 g/100g)	3.50e-07	yeast extract	vitamins
1	riboflavin		CHEBI:17015		from yeast extract (0.01 g/100g)	5.00e-07	yeast extract	vitamins
1	sodium		CHEBI:26708		from yeast extract (0.3 g/100g)	1.5e-05	yeast extract	minerals
1	thiamine		CHEBI:18385		from yeast extract (0.01 g/100g)	5.00e-07	yeast extract	vitamins
1	zinc		CHEBI:27363		from yeast extract (0.01 g/100g)	5.00e-07	yeast extract	minerals
