original	mapped	chebi_label	chebi_formula
(NH4)6Mo7O24·4H2O	CAS-RN:12054-85-2		
(NH4)6MoO7O24 x 4 H2O	CAS-RN:12054-85-2		
(NH4)MoO7O24 x 4 H2O	CAS-RN:12054-85-2		
(NH4)Mo7O24·4H2O	CAS-RN:12054-85-2		
(NH4)6Mo7O4 x 24 H2O	CAS-RN:12054-85-2		
(NH4)6MoO24·4H2O	CAS-RN:12054-85-2		
(NH4)6Mo7O24 x 4 H2O	CAS-RN:12054-85-2		
Bacto Peptone	CAS-RN:51142-18-8		
Bacto peptone	CAS-RN:51142-18-8		
G Bacto Peptone	CAS-RN:51142-18-8		
Bactopeptone	CAS-RN:51142-18-8		
Bacto-Peptone	CAS-RN:51142-18-8		
Bacto-peptone	CAS-RN:51142-18-8		
Poly hexamethylene carbonate (PHC)*	CAS-RN:61630-98-6		
Yeast	CAS-RN:68876-77-7		
Olive oil	CAS-RN:8001-25-0		
Malt extract	CAS-RN:8002-48-0		
Yeast extrakt	CAS-RN:8013-01-2		
Yeast extract	CAS-RN:8013-01-2		
Oat flakes	CAS-RN:84012-26-0		
Tryptone	CAS-RN:84843-69-6		
tryptone	CAS-RN:84843-69-6		
Na-caseinate	CAS-RN:9005-46-3		
Na-Caseinate	CAS-RN:9005-46-3		
Bovine serum albumin	CAS-RN:9048-46-8		
Cheese whey	CAS-RN:92129-90-3		
Potato	CAS-RN:93348-51-7		
Yeast autolysate	CAS-RN:977046-75-5		
Skim Milk	CAS-RN:999999-99-4		
Skim milk	CAS-RN:999999-99-4		
Nicotinate	CHEBI:10716816		
Sodium ascorbate	CHEBI:113451	sodium ascorbate	C6H7O6.Na
Sodium benzoate	CHEBI:113455	sodium benzoate	C7H5O2.Na
Sodium caproate	CHEBI:114126	sodium hexanoate	C6H11O2.Na
Na2S2O5	CHEBI:114786	sodium disulfite	2Na.O5S2
Disodium fumarate	CHEBI:115156	disodium fumarate	C4H2O4.2Na
Sodium fumarate	CHEBI:115156	disodium fumarate	C4H2O4.2Na
Tris-HCl	CHEBI:1185531		
Tris HCl	CHEBI:1185531		
Tris·HCl	CHEBI:1185531		
D-Galactose	CHEBI:12936	D-galactose	C6H12O6
FePO4	CHEBI:131371	iron(3+) phosphate	Fe.O4P
MnSO4·5H2O	CHEBI:131524	manganese(II) sulfate pentahydrate	5H2O.Mn.O4S
K2CO3	CHEBI:131526	potassium carbonate	CO3.2K
K2HPO4 x 3 H2O	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K
Dipotassium Phosphate	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K
K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K
K 2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K
