medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
1	tryptone	CAS-RN:84843-69-6			10.0		g/L			json		0							original_only	good	tryptone	tryptone		tryptone					no_hydration	high		100.0	0.0	100.0	100.0			
1	yeast extract	FOODON:03315426			5.0		g/L			json		0							original_only	good	yeast extract	yeastextract		yeastextract					no_hydration	high		100.0	0.0	100.0	50.0			
2	ammonium chloride	CHEBI:31206	ammonium chloride	Cl.H4N	1.0		g/L			json		0							original_only	good	ammonium chloride	ammoniumchloride		ammoniumchloride					no_hydration	high		100.0	0.0	100.0	10.0			
2	calcium chloride	CHEBI:86158	calcium chloride dihydrate	Ca.2Cl.2H2O	0.011		g/L			json		0							original_only	good	calcium chloride	calciumchloride		calciumchloride					no_hydration	high		100.0	0.0	100.0	0.11			
2	glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6	4.0		g/L			json		0							original_only	good	glucose	glucose		glucose					no_hydration	high		180.16	0.0	180.16	22.202487			
2	magnesium sulfate	CHEBI:32599	magnesium sulfate	Mg.O4S	0.493		g/L			json		0							original_only	good	magnesium sulfate	magnesiumsulfate		magnesiumsulfate					no_hydration	high		100.0	0.0	100.0	4.93			
2	potassium phosphate monobasic	CHEBI:63036	potassium dihydrogen phosphate	H2O4P.K	3.0		g/L			json		0							original_only	good	potassium phosphate monobasic	potassiumphosphatemonobasic		potassiumphosphatemonobasic					no_hydration	high		100.0	0.0	100.0	30.0			
2	sodium phosphate dibasic	CHEBI:37583	trisodium phosphate	3Na.O4P	6.78		g/L			json		0							original_only	good	sodium phosphate dibasic	sodiumphosphatedibasic		sodiumphosphatedibasic					no_hydration	high		100.0	0.0	100.0	67.8			
3	dipotassium hydrogen phosphate	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	2.5		g/L			json		0							original_only	good	dipotassium hydrogen phosphate	dipotassiumhydrogenphosphate		dipotassiumhydrogenphosphate					no_hydration	high		100.0	0.0	100.0	25.0			
3	glucose	CHEBI:42758	aldehydo-D-glucose	C6H12O6	2.5		g/L			json		0							original_only	good	glucose	glucose		glucose					no_hydration	high		180.16	0.0	180.16	13.876554			
