original_name	mapped_id	chebi_label	chebi_formula
(1)  Ca(NO3)2.4H2O	CHEBI:86159	calcium nitrate tetrahydrate	Ca.4H2O.2NO3
(5)  Sodium metasilicate	CHEBI:60720	sodium silicate	2Na.O3Si
(Agar	CHEBI:2509	agar	
(NH4) citrate	CAS-RN:3458-72-8		
(NH4)2 citrate	CAS-RN:3012-65-5		
(NH4)2 SO4	CHEBI:62946	ammonium sulfate	2H4N.O4S
(NH4)2MoO4	CHEBI:91249	ammonium molybdate	2H4N.MoO4
(NH4)2Ni(SO4)2	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2 x 6 H2O (0.1% w/v)	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2·6H2O	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2Ni(SO4)2•6H2O	CHEBI:86149	ammonium nickel sulfate hexahydrate	6H2O.2H4N.Ni.2O4S
(NH4)2S4	CHEBI:62946	ammonium sulfate	2H4N.O4S
(NH4)2SO4	CHEBI:62946	ammonium sulfate	2H4N.O4S
(NH4)3 citrate	CAS-RN:3458-72-8		
(NH4)6Mo7O24	CAS-RN:12027-67-7		
(NH4)6Mo7O24 x 4 H2O	CAS-RN:12054-85-2		
(NH4)6Mo7O24·4H2O	CAS-RN:12054-85-2		
(NH4)6Mo7O4 x 24 H2O	CAS-RN:12054-85-2		
(NH4)6MoO24·4H2O	CAS-RN:12054-85-2		
(NH4)6MoO7O24 x 4 H2O	CAS-RN:12054-85-2		
(NH4)H2PO4	CAS-RN:7722-76-1		
(NH4)HCO3	CAS-RN:1066-33-7		
(NH4)Mo7O24·4H2O	CAS-RN:12054-85-2		
(NH4)MoO7O24 x 4 H2O	CAS-RN:12054-85-2		
(NH4)NO3	CAS-RN:6484-52-2		
--Chloramphenicol	PUBCHEM.COMPOUND:5959.0		
--Quinic acid	PUBCHEM.COMPOUND:6508.0		
.MgSO4 x 7 H2O	CAS-RN:10034-99-8		
0.2% Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	C12H19N4O7P2S
0.5 M Nitrilotriacetic acid, disodium salt	CHEBI:132766	sodium nitrilotriacetate	C6H6NO6.3Na
1 M Sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
1 M Sodium butyrate	CHEBI:64103	sodium butyrate	C4H7O2.Na
1 M Sodium lactate	CHEBI:75228	sodium lactate	C3H5O3.Na
1 M Sodium pyruvate*	CHEBI:50144	sodium pyruvate	C3H3O3.Na
1,4-Naphthoquinone	CHEBI:27418	1,4-naphthoquinone	C10H6O2
2-Methyl-butyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
2-Methylbutyric acid	CHEBI:37070	2-methylbutyric acid	C5H10O2
2-Oxoglutarate	CHEBI:16810	2-oxoglutarate(2-)	C5H4O5
2Na-EDTA	CHEBI:64734	EDTA disodium salt (anhydrous)	C10H14N2O8.2Na
3-Indolyl acetic acid	CHEBI:88356	3-methylphenylacetic acid	C9H10O2
3-Methyl-butyric acid	CHEBI:28484	isovaleric acid	C5H10O2
4-Hydroxyphenyl acetic acid	CHEBI:18101	4-hydroxyphenylacetic acid	C8H8O3
5% defibrinated sheep blood	UBERON:0000178		
Absolute ethanol	PubChem:702		
ACES	CHEBI:39061	ACES	
Acetic acid	CHEBI:15366	acetic acid	C2H4O2
Activated carbon	CAS-RN:7440-44-0		
agar	CHEBI:2509	agar	
Agar	CHEBI:2509	agar	
agarose	CHEBI:2511	agarose	(C12H18O9)n.C12H20O10
Agarose	CHEBI:2511	agarose	(C12H18O9)n.C12H20O10
Al2SO43 x 18 H2O	PUBCHEM.COMPOUND:24850		
AlCl3	CHEBI:30114	aluminium trichloride	AlCl3
AlCl3 x 6 H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
AlCl3.6H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
AlCl3·6H2O	CHEBI:30115	aluminium trichloride hexahydrate	AlCl3.6H2O
AlK(SO4)2	CHEBI:86463	potassium aluminium sulfate	Al.K.2O4S
AlK(SO4)2 x 12H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
AlK(SO4)2·12H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	Al.12H2O.K.2O4S
AlKSO42	PUBCHEM.COMPOUND:24856		
AlKSO42 x 12 H2O	PUBCHEM.COMPOUND:24856		
Ammonium acetate	CHEBI:62947	ammonium acetate	C2H3O2.H4N
ammonium chloride	CHEBI:31206	ammonium chloride	Cl.H4N
Ammonium ferric citrate	CHEBI:31604	ferric ammonium citrate	
Ammonium Molybdate	CHEBI:91249	ammonium molybdate	2H4N.MoO4
Ammonium Sulfate	CHEBI:62946	ammonium sulfate	2H4N.O4S
Arginine	CHEBI:32696	argininium(1+)	C6H15N4O2
Ascorbic acid	CHEBI:22652	ascorbic acid	
B12	CHEBI:156213	(4-{[(3,5-dimethylisoxazol-4-yl)methyl]amino}quinazolin-2-yl)methanol	C15H16N4O2
BaCl2	CHEBI:63317	barium chloride	Ba.2Cl
BaCl2 x 2 H2O	CHEBI:63317	barium chloride	Ba.2Cl
BaCl2·2H2O	CHEBI:86153	barium chloride dihydrate	Ba.2Cl.2H2O
Bacto beef extract	CHEBI:132852	lespedezol D1	C16H14O5
Bacto Peptone	CAS-RN:51142-18-8		
Bacto peptone	CAS-RN:51142-18-8		
Bacto Soytone	CHEBI:8150		
Bacto Tryptic Soy Broth without Dextrose	medium:1260		
Bacto-peptone	CAS-RN:51142-18-8		
